school_id,lat,lon,county_fips,match
A1702419,,,,No_Match
A2102424,40.448066424999,-74.377457532167,34023,Match
A0902180,40.834033489023,-74.135589734667,34031,Match
A2102426,40.969196489241,-74.0917585581,34003,Match
A2102421,40.742309570213,-74.259623125874,34013,Match
A1902946,35.070539704136,-108.851936859696,35031,Match
A1302235,46.896147810869,-96.790602851979,38017,Match
A1902943,35.668975732747,-105.909707917264,35049,Match
01603212,35.905020923893,-79.03018376227,37135,Match
A1502809,,,,Tie
A1302237,46.903050537606,-98.721858984593,38093,Match
02044294,40.825077329838,-74.409829807541,34027,Match
00909886,,,,No_Match
A1302239,40.621547678984,-81.679819422045,39075,Match
AA900045,35.127599640602,-106.550945741743,35001,Match
A1702414,,,,No_Match
A1702415,40.680051446615,-74.427666052865,34039,Match
A1502805,40.23393530272,-81.532459756283,39157,Match
BB081260,40.601205288087,-73.997092460846,36047,Match
A2190595,40.79129302529,-73.698157104949,36059,Match
00938374,40.741663908215,-73.978064195175,36061,Match
A0502560,42.63021293146,-76.302505425649,36011,Match
00939221,40.730351383846,-73.098166087678,36103,Match
A1702429,40.617735966029,-74.318428777047,34039,Match
A9502703,36.104670458327,-115.254838936995,32003,Match
A1171183,40.899630524372,-73.976257333886,34003,Match
A1302240,40.770446368369,-81.78564920127,39169,Match
A2102416,,,,No_Match
A0902191,39.992216526555,-74.196467147191,34029,Match
A2102415,40.967496423714,-74.107758032213,34003,Match
A1302242,40.755753662405,-81.750758091782,39169,Match
A2102410,39.70340907841,-75.024788045315,34015,Match
A2102894,35.911396205472,-78.934207501868,37063,Match
A1302243,,,,No_Match
A1302244,40.630002253903,-81.677719467522,39075,Match
A2102412,40.395510242334,-74.058305676154,34025,Match
A1902938,35.091367223387,-106.557715520628,35001,Match
02048652,41.014480851619,-73.734349542616,36119,Match
A1302245,40.660377992972,-81.765134859244,39075,Match
A0502564,41.035216800414,-73.809367122807,36119,Match
A1302247,,,,No_Match
A1302248,41.505529807202,-81.051763087281,39055,Match
A0902188,40.87350079364,-74.289270522981,34013,Match
00930411,40.822358175476,-73.481061974561,36059,Match
A1171181,40.768841908241,-74.218814381702,34013,Match
A0971586,40.883630233392,-73.852770655316,36005,Match
A0902183,40.383437674444,-74.518013915452,34023,Match
00940204,41.005183347929,-73.836770036024,36119,Match
00927249,,,,No_Match
A9707219,43.013476181411,-70.880619677208,33015,Match
A1702420,40.792306316893,-74.281812470433,34013,Match
A1702421,40.930657039272,-74.173572447349,34031,Match
A2190585,,,,No_Match
00938385,41.865808165674,-73.546568027724,36027,Match
00865756,40.927567727894,-74.189474437038,34031,Match
00920651,40.949073708908,-73.886600108022,36119,Match
A1302250,40.710033548059,-81.74618331752,39169,Match
A2102402,40.066197013746,-74.211840982274,34029,Match
A0502577,40.80368590398,-73.965717588611,36061,Match
A2102405,40.093222875324,-74.157270420972,34029,Match
A2102404,40.077445571225,-74.216681382527,34029,Match
A1171173,41.138509859496,-74.367043022783,34031,Match
A1302255,40.59383662807,-81.802410577198,39075,Match
02048663,41.119794342204,-73.717623359067,36119,Match
02046484,40.614852666917,-73.944660666689,36047,Match
A2102884,,,,No_Match
A1302257,40.66966750569,-81.755313881221,39169,Match
A1302258,40.434898176446,-81.845481258239,39031,Match
A0902154,40.509680354605,-74.685388959333,34035,Match
A1902961,41.11518615355,-74.075417930535,36087,Match
00929439,42.661500368281,-77.058403236726,36123,Match
A2190579,40.637658752912,-73.989283007126,36047,Match
00928107,42.98686269608,-78.873257184506,36029,Match
A9502708,43.02035589136,-71.374695409959,33015,Match
00862256,40.724920840084,-74.077978093423,34017,Match
A9502709,42.974637711754,-71.516727545518,33011,Match
00943726,40.843408610011,-73.922298012821,36005,Match
