Title,Page ID,URL,State,City,County,Extracted State,School Type,Direct Parent Category
"Hueytown High School",23644597,"https://en.wikipedia.org/wiki/Hueytown_High_School","Alabama","Hueytown, Alabama","","Alabama","public","Public high schools in Alabama"
"Huffman High School",3057549,"https://en.wikipedia.org/wiki/Huffman_High_School","Alabama","Birmingham, Alabama","","Alabama","unknown","High schools in Birmingham, Alabama"
"Huntsville High School (Alabama)",15679707,"https://en.wikipedia.org/wiki/Huntsville_High_School_(Alabama)","Alabama","Huntsville, Alabama","","Alabama","unknown","High schools in Huntsville, Alabama"
"Ider High School (Alabama)",12336823,"https://en.wikipedia.org/wiki/Ider_High_School_(Alabama)","Alabama","Ider, Alabama","","Alabama","public","Public K–12 schools in Alabama"
"Indian Springs School",2306381,"https://en.wikipedia.org/wiki/Indian_Springs_School","Alabama","Indian Springs, Alabama","","Alabama","private","Preparatory schools in Alabama"
"Isabella High School",22577942,"https://en.wikipedia.org/wiki/Isabella_High_School","Alabama","Maplesville, Alabama","","Alabama","public","Public K–12 schools in Alabama"
"J.O. Johnson High School",29585974,"https://en.wikipedia.org/wiki/J.O._Johnson_High_School","Alabama","Huntsville, Alabama","Madison County","Alabama","unknown","High schools in Huntsville, Alabama"
"Jacksonville High School (Alabama)",25219281,"https://en.wikipedia.org/wiki/Jacksonville_High_School_(Alabama)","Alabama","Jacksonville, Alabama","","Alabama","unknown","High schools in Jacksonville, Alabama"
"James Clemens High School",47617284,"https://en.wikipedia.org/wiki/James_Clemens_High_School","Alabama","Madison, Alabama","","Alabama","public","Public high schools in Alabama"
"Jasper High School (Alabama)",5707445,"https://en.wikipedia.org/wiki/Jasper_High_School_(Alabama)","Alabama","Jasper, Alabama","","Alabama","public","Public high schools in Alabama"
"Jefferson County International Baccalaureate School",1962752,"https://en.wikipedia.org/wiki/Jefferson_County_International_Baccalaureate_School","Alabama","Irondale, Alabama","","Alabama","public","Public high schools in Alabama"
